Date,Comparison_Type
20170802,8501
20170803,9620
20170804,0
20170805,0
20170806,7868
20170807,6750
20170808,1499
20170809,3246
20170810,8638
20170811,518
20170812,978
20170813,8473
20170814,3938
20170815,9260
20170816,6745
20170817,9602
20170818,7895
20170819,5834
20170820,4055
20170821,3904
20170822,2475
20170823,8740
20170824,579
20170825,6862
20170826,6208
20170827,1152
20170828,2745
20170829,9862
20170830,93
20170831,542
20170901,8277
20170902,3618
20170903,4348
20170904,2816
20170905,7402
20170906,5341
20170907,3117
20170908,3702
20170909,7116
20170910,1527
20170911,4021
20170912,9480
20170913,1615
20170914,1539
20170915,7009
20170916,1041
20170917,2266
20170918,6492
20170919,2181
20170920,6507
20170921,3792
20170922,6148
20170923,3287
20170924,4495
20170925,7283
20170926,4025
20170927,2319
20170928,8427
20170929,8873
20170930,1438
20171001,5932
20171002,9147
20171003,7566
20171004,4529
20171005,8166
20171006,9488
20171007,4479
20171008,1177
20171009,4116
20171010,2635
20171011,1691
20171012,8333
20171013,8304
20171014,6059
20171015,7365
20171016,0
20171017,7181
20171018,4028
20171019,7208
20171020,4409
20171021,2776
20171022,8026
20171023,9825
20171024,9662
20171025,787
20171026,1432
20171027,1960
20171028,8997
20171029,4726
20171030,1375
20171031,4089
20171101,3756
20171102,2085
20171103,9706
20171104,0
20171105,4554
20171106,3841
20171107,659
20171108,8804
20171109,485
20171110,6925
20171111,9653
20171112,3124
20171113,4361
20171114,8305
20171115,5010
20171116,6209
20171117,9661
20171118,6782
20171119,6954
20171120,4185
20171121,2190
20171122,146
20171123,4701
20171124,2043
20171125,5791
20171126,3175
20171127,9413
20171128,6264
20171129,7899
20171130,8266
20171201,2678
20171202,6276
20171203,1470
20171204,642
20171205,4548
20171206,3275
20171207,3487
20171208,9329
20171209,2803
20171210,8619
20171211,5723
20171212,9836
20171213,1361
20171214,5571
20171215,26
20171216,8902
20171217,232
20171218,1042
20171219,6734
20171220,1891
20171221,7393
20171222,4075
20171223,8717
20171224,2381
20171225,1315
20171226,5026
20171227,7075
20171228,9893
20171229,7608
20171230,0
20171231,0
20140101,0
20140102,112
20140103,223
20140104,332
20140105,0
20140106,112
20140107,223
20140108,332
20140109,1212
20140110,1234
20140111,0
20140112,213
20140113,2231
20140114,1256
20140115,2231
20140116,4273
20140117,1594
20140118,7216
20140119,9700
20140120,6549
20140121,2899
20140122,3778
20140123,7062
20140124,1546
20140125,8712
20140126,9930
20140127,5060
20140128,7018
20140129,986
20140130,2015
20140131,5624
20140201,4634
20140202,794
20140203,7078
20140204,5362
20140205,532
20140206,9355
20140207,8053
20140208,3119
20140210,4434
20140211,2500
20140212,2108
20140213,8211
20140214,9079
20140215,803
20140216,335
20140217,5926
20140218,8908
20140219,4536
20140220,540
20140221,5608
20140222,1862
20140223,2015
20140224,1855
20140225,289
20140226,8165
20140227,5486
20140228,8906
20140301,5805
20140302,8116
20140303,7215
20140304,3094
20140305,9695
20140306,4637
20140307,2826
20140308,3007
20140309,8336
20140310,4667
20140311,6216
20140312,4685
20140313,5939
20140314,5268
20140315,0
20140316,3220
20140317,3363
20140318,8500
20140319,5828
20140320,5748
20140321,3218
20140322,4933
20140323,7449
20140324,4200
20140325,3508
20140326,3239
20140327,3449
20140328,33
20140329,4164
20140330,8390
20140331,1297
20140401,4999
20140402,4396
20140403,5215
20140404,8809
20140405,3998
20140406,395
20140407,3444
20140408,6151
20140409,4788
20140410,108
20140411,9671
20140412,6318
20140413,5545
20140414,2314
20140415,7873
20140416,3423
20140417,9856
20140418,7647
20140419,7204
20140420,4078
20140421,1421
20140422,868
20140423,9022
20140424,6584
20140425,2103
20140426,0
20140427,2791
20140428,1759
20140429,1908
20140430,4654
20140501,4201
20140502,793
20140503,1032
20140504,4667
20140505,6570
20140506,7818
20140507,6733
20140508,6805
20140509,8706
20140510,9330
20140511,8224
20140512,6249
20140513,9783
20140514,7830
20140515,9965
20140516,64
20140517,7258
20140519,2646
20140520,2411
20140521,4013
20140522,3946
20140523,892
20140524,7744
20140525,6054
20140526,6805
20140527,5513
20140528,9612
20140529,7506
20140530,8241
20140531,7124
20140601,33
20140602,479
20140603,418
20140604,260
20140605,394
20140606,477
20140607,171
20140608,19
20140609,393
20140610,219
20140611,295
20140612,91
20140613,61
20140614,326
20140616,486
20140617,113
20140618,165
20140619,254
20140620,182
20140621,291
20140622,411
20140623,243
20140624,481
20140625,309
20140626,103
20140627,262
20140628,189
20140629,355
20140630,415
20140701,9325
20140702,3666
20140703,651
20140704,1563
20140705,2187
20140706,3683
20140707,6424
20140708,7240
20140709,6731
20140710,1386
20140711,8163
20140712,9274
20140713,7074
20140714,7939
20140715,1985
20140716,7583
20140717,9781
20140718,2409
20140719,3362
20140720,502
20140721,1599
20140722,6606
20140723,2411
20140724,8880
20140725,9229
20140726,708
20140727,5921
20140728,5833
20140729,9200
20140730,4503
20140731,8619
20140801,3743
20140802,8497
20140803,6
20140804,2812
20140805,4476
20140806,4855
20140807,8945
20140808,2486
20140809,1572
20140810,3979
20140811,7994
20140812,2809
20140813,3027
20140814,5189
20140815,4616
20140816,3918
20140817,2418
20140818,7013
20140819,2426
20140820,9800
20140821,5335
20140822,5273
20140823,8809
20140824,1625
20140825,6839
20140826,7391
20140827,3689
20140828,5204
20140829,7010
20140830,1420
20140831,4806
20140901,8519
20140902,7131
20140903,8586
20140904,1845
20140905,842
20140906,3146
20140907,4666
20140908,6473
20140909,3915
20140910,1242
20140911,7147
20140912,4761
20140913,2273
20140914,3542
20140915,0
20140916,0
20140917,3589
20140918,9264
20140919,5512
20140920,2639
20140921,5408
20140922,6915
20140923,1839
20140924,3041
20140925,9095
20140926,8190
20140927,215
20140928,7247
20140929,7740
20140930,8354
20141001,2649
20141002,3929
20141003,8826
20141004,3344
20141005,2329
20141006,7912
20141007,6196
20141008,9291
20141009,3440
20141010,1211
20141011,7795
20141012,4541
20141013,7056
20141014,3129
20141015,8301
20141016,0
20141017,0
20141018,9621
20141019,9890
20141020,6286
20141021,9155
20141022,2311
20141023,8503
20141024,8377
20141025,3026
20141026,5063
20141027,9166
20141028,9181
20141029,9039
20141030,5020
20141031,6650
20141101,89
20141102,359
20141103,467
20141104,429
20141105,356
20141106,1558
20141107,9137
20141108,8013
20141109,9539
20141110,2059
20141111,2120
20141112,2363
20141113,6137
20141114,4006
20141115,4465
20141116,517
20141117,9160
20141118,3226
20141119,2446
20141120,2992
20141121,4028
20141123,2057
20141124,557
20141125,8906
20141126,809
20141127,3631
20141128,761
20141129,5507
20141130,7275
20141201,8126
20141202,390
20141203,6164
20141204,3684
20141205,7547
20141206,8106
20141207,8303
20141208,1860
20141209,7312
20141210,7865
20141211,9777
20141212,2945
20141213,2561
20141214,9366
20141215,1961
20141216,8161
20141217,5366
20141218,3823
20141219,5136
20141220,1727
20141221,3182
20141222,10
20141223,4336
20141224,5340
20141225,3014
20141226,5239
20141227,5200
20141228,6267
20141229,1055
20141230,3532
20141231,4592
20180101,0
20180102,112
20180103,223
20180104,332
20180105,0
20180106,112
20180107,223
20180108,332
20180109,1212
20180110,1234
20180111,0
20180112,213
20180113,2231
20180114,1256
20180115,2231
20180116,3442
20180117,0
20180118,8013
20180119,1857
20180120,6085
20180121,5533
20180124,3217
20180125,6966
20180126,7116
20180127,2245
20180128,0
20180129,8133
20180130,8463
20180131,204
20180201,3996
20180202,0
20180203,3072
20180204,6501
20180205,4067
20180206,8656
20180207,2262
20180208,3688
20180209,0
20180210,4007
20180211,1996
20180212,1562
20180213,2194
20180214,6053
20180215,6378
20180216,2295
20180217,0
20180218,4142
20180219,4893
20180220,9219
20180221,0
20180222,7348
20180223,416
20180224,1498
20180225,9539
20180226,3540
20180227,3179
20180228,7924
20180301,6524
20180302,6809
20180303,9056
20180304,0
20180305,5073
20180306,277
20180307,1109
20180308,3792
20180309,6168
20180310,8151
20180311,3475
20180312,1431
20180313,5411
20180314,7660
20180315,904
20180316,3975
20180317,0
20180318,9095
20180319,3632
20180320,9239
20180321,6963
20180322,2054
20180323,6815
20180324,9126
20180325,7984
20180326,9858
20180327,4589
20180328,4104
20180329,0
20180401,4664
20180402,910
20180403,9262
20180404,5536
20180405,9604
20180406,7131
20180407,3660
20180408,8236
20180409,4855
20180410,9640
20180411,8617
20180412,5524
20180413,6707
20180414,8828
20180415,5719
20180416,4972
20180417,1256
20180418,8530
20180419,588
20180420,760
20180421,4262
20180422,8707
20180423,0
20180424,4568
20180425,7049
20180426,6768
20180427,2567
20180428,9310
20180429,176
20180430,1121
